district,city,latitude,longitude,updated_time,price,land_area_sqm,building_area_sqm,jumlah lantai,kamar tidur,kamar mandi,carpots,garasi,sertifikat,daya listrik,interior,tahun dibangun
Sindang Jaya,Tangerang,-6.1988952,106.5116495,02/06/2024,Rp 1.700.000.000,72 m²,166 m²,2,4,3,1,2,SHM,2200 Watt,Unfurnished,N/A
Pondok Hijau Golf,Tangerang,-6.252038,106.6312282,02/06/2024,Rp 7.600.000.000,386 m²,389 m²,2,4,4,1,2,SHM,6600 Watt,Unfurnished,N/A
Sepatan Timur,Tangerang,-6.1296823,106.595832,02/06/2024,Rp 585.000.000,66 m²,45 m²,1,2,1,1,1,SHM,2200 Watt,Semi Furnished,N/A
Tangerang,Tangerang,-6.3270862,106.5556574,02/06/2024,Rp 950.000.003,72 m²,67 m²,2,3,2,1,N/A,SHM,1300 Watt,Unfurnished,2023
Cipondoh,Tangerang,-6.1866281,106.6825964,02/06/2024,Rp 1.700.000.000,66 m²,84 m²,2,3,2,1,1,SHM,2199 Watt,Semi Furnished,N/A
Tangerang,Banten,-6.1701796,106.6403236,02/06/2024,Rp 360.000.000,66 m²,40 m²,N/A,2,1,2,N/A,SHM,1300 Watt,Unfurnished,N/A
Tangerang,Banten,-6.1701796,106.6403236,02/06/2024,Rp 7.000.000.000,320 m²,265 m²,2,4,3,2,2,SHM,3500 Watt,Semi Furnished,N/A
BSD City,Tangerang,-6.1701796,106.6403236,02/06/2024,Rp 1.250.000.000,48 m²,45 m²,2,2,1,1,1,SHM,N/A,Full Furnished,N/A
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 418.000.000,70 m²,45 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 401.000.000,66 m²,40 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 360.000.000,60 m²,35 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 418.000.000,70 m²,45 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 401.000.000,66 m²,40 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 360.000.000,60 m²,35 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Tangerang,Tangerang,-6.1701796,106.6403236,02/06/2024,Rp 950.000.005,75 m²,67 m²,N/A,3,2,1,N/A,SHM,1300 Watt,Unfurnished,2023
Legok,Tangerang,-6.3270862,106.5556574,02/06/2024,Rp 950.000.008,78 m²,67 m²,2,3,2,1,N/A,SHM,1300 Watt,Unfurnished,2021
Tangerang,Tangerang,-6.1701796,106.6403236,02/06/2024,Rp 423.000.000,66 m²,40 m²,1,2,1,2,N/A,SHM,1300 Watt,Unfurnished,2023
Tangerang,Tangerang,-6.1701796,106.6403236,02/06/2024,Rp 379.000.000,60 m²,35 m²,1,2,1,2,N/A,SHM,1300 Watt,Unfurnished,2023
Tangerang,Tangerang,-6.1701796,106.6403236,02/06/2024,Rp 423.000.000,66 m²,40 m²,1,2,1,2,N/A,SHM,1300 Watt,Unfurnished,2023
Tangerang,Tangerang,-6.1701796,106.6403236,02/06/2024,Rp 379.000.000,60 m²,35 m²,1,2,1,2,N/A,SHM,1300 Watt,Unfurnished,2023
